fk_well,date,gwl
673,1987-02-16,160.45
673,1987-02-23,160.34
673,1987-03-02,161.14
673,1987-03-09,161.18
673,1987-03-16,160.65
673,1987-03-23,160.46
673,1987-03-30,160.9
673,1987-04-06,160.72
673,1987-04-13,160.63
673,1987-04-20,160.54
673,1987-04-27,160.4
673,1987-05-04,160.25
673,1987-05-11,160.34
673,1987-05-18,160.53
673,1987-05-25,161.01
673,1987-06-01,160.73
673,1987-06-08,160.89
673,1987-06-15,160.73
673,1987-06-22,161.66
673,1987-06-29,161.3
673,1987-07-06,160.87
673,1987-07-13,161.06
673,1987-07-20,160.67
673,1987-07-27,160.4
673,1987-08-03,160.39
673,1987-08-10,160.61
673,1987-08-17,160.36
673,1987-08-24,160.26
673,1987-08-31,160.21
673,1987-09-07,160.08
673,1987-09-14,159.99
673,1987-09-21,159.88
673,1987-09-28,159.91
673,1987-10-05,159.87
673,1987-10-12,159.86
673,1987-10-19,160.04
673,1987-10-26,160.01
673,1987-11-02,160.01
673,1987-11-09,159.95
673,1987-11-16,160.01
673,1987-11-23,160.59
673,1987-11-30,160.51
673,1987-12-07,160.32
673,1987-12-14,160.27
673,1987-12-21,161.04
673,1987-12-28,160.73
673,1988-01-04,160.45
673,1988-01-11,160.54
673,1988-01-18,160.39
673,1988-01-25,160.3
673,1988-02-01,160.58
673,1988-02-08,160.8
673,1988-02-15,161.02
673,1988-02-22,160.71
673,1988-02-29,160.53
673,1988-03-07,160.57
673,1988-03-14,161.46
673,1988-03-21,161.79
673,1988-03-28,162.05
673,1988-04-04,161.41
673,1988-04-11,161.15
673,1988-04-18,160.96
673,1988-04-25,160.75
673,1988-05-02,160.5
673,1988-05-09,160.32
673,1988-05-16,160.24
673,1988-05-23,160.41
673,1988-05-30,160.29
673,1988-06-06,160.26
673,1988-06-13,160.29
673,1988-06-20,160.14
673,1988-06-27,159.99
673,1988-07-04,159.95
673,1988-07-11,159.92
673,1988-07-18,159.89
673,1988-07-25,159.82
673,1988-08-01,159.82
673,1988-08-08,159.96
673,1988-08-15,159.87
673,1988-08-22,159.78
673,1988-08-29,159.81
673,1988-09-05,159.91
673,1988-09-12,159.97
673,1988-09-19,159.89
673,1988-09-26,159.8
673,1988-10-03,159.87
673,1988-10-10,160.05
673,1988-10-17,160.39
673,1988-10-24,160.27
673,1988-10-31,160.2
673,1988-11-07,160.1
673,1988-11-14,159.97
673,1988-11-21,159.92
673,1988-11-28,159.91
673,1988-12-05,161.27
673,1988-12-12,161.76
673,1988-12-19,161.24
673,1988-12-26,160.94
673,1989-01-02,160.69
673,1989-01-09,160.57
673,1989-01-16,160.44
673,1989-01-23,160.29
673,1989-01-30,160.16
673,1989-02-06,160.04
673,1989-02-13,159.94
673,1989-02-20,160
673,1989-02-27,160.28
673,1989-03-06,160.63
673,1989-03-13,160.53
673,1989-03-20,160.47
673,1989-03-27,160.33
673,1989-04-03,160.44
673,1989-04-10,160.72
673,1989-04-17,160.91
673,1989-04-24,161.04
673,1989-05-01,160.75
673,1989-05-08,160.46
673,1989-05-15,160.3
673,1989-05-22,160.15
673,1989-05-29,160
673,1989-06-05,159.92
673,1989-06-12,159.83
673,1989-06-19,159.75
673,1989-06-26,159.73
673,1989-07-03,159.73
673,1989-07-10,159.7
673,1989-07-17,159.74
673,1989-07-24,159.68
673,1989-07-31,159.63
673,1989-08-07,159.67
673,1989-08-14,159.64
673,1989-08-21,159.6
673,1989-08-28,159.57
673,1989-09-04,159.55
673,1989-09-11,159.52
673,1989-09-18,159.54
673,1989-09-25,159.5
673,1989-10-02,159.48
673,1989-10-09,159.5
673,1989-10-16,159.56
673,1989-10-23,159.52
673,1989-10-30,159.49
673,1989-11-06,159.59
673,1989-11-13,159.62
673,1989-11-20,159.58
673,1989-11-27,159.52
673,1989-12-04,159.47
673,1989-12-11,159.45
673,1989-12-18,160.14
673,1989-12-25,160.75
673,1990-01-01,160.48
673,1990-01-08,160.16
673,1990-01-15,159.98
673,1990-01-22,159.87
673,1990-01-29,159.94
673,1990-02-05,159.92
673,1990-02-12,159.89
673,1990-02-19,161.05
673,1990-02-26,160.62
673,1990-03-05,160.71
673,1990-03-12,160.48
673,1990-03-19,160.26
673,1990-03-26,160.1
673,1990-04-02,160.04
673,1990-04-09,159.95
673,1990-04-16,159.98
673,1990-04-23,160.02
673,1990-04-30,160.01
673,1990-05-07,159.93
673,1990-05-14,159.88
673,1990-05-21,159.79
673,1990-05-28,159.74
673,1990-06-04,159.71
673,1990-06-11,159.76
673,1990-06-18,159.76
673,1990-06-25,159.87
673,1990-07-02,159.83
673,1990-07-09,159.92
673,1990-07-16,159.93
673,1990-07-23,159.81
673,1990-07-30,159.69
673,1990-08-06,159.57
673,1990-08-13,159.5
673,1990-08-20,159.53
673,1990-08-27,159.49
673,1990-09-03,159.51
673,1990-09-10,159.56
673,1990-09-17,159.52
673,1990-09-24,159.56
673,1990-10-01,159.64
673,1990-10-08,160.13
673,1990-10-15,159.95
673,1990-10-22,159.79
673,1990-10-29,159.7
673,1990-11-05,159.86
673,1990-11-12,160.03
673,1990-11-19,160.45
